BRCA1,672
BRCA2,675
SMA,6606
KIR2DL1,3802
KIR2DL2,3803
KIR2DL3,3804
KIR2DL4,3805
KIR2DL5A,57292
KIR2DL5B,553128
KIR2DS1,3806
KIR2DS2,100132285
KIR2DS3,3808
KIR2DS4,3809
KIR2DS5,3810
KIR3DL1,3811
KIR3DL2,3812
KIR3DL3,115653
KIR3DS1,3813
KIR3DP1,548594
KIR2DP1,554300
A,3105
B,3106
C,3107
DMA,3108
DMB,3109
DOA,3111
DOB,3112
DPA1,3113
DPB1,3115
DQA1,3117
DQB1,3119
DRA,3122
DRB1,3123
DRB3,3125
DRB4,3126
DRB5,3127
E,3133
F,3134
G,3135
H,3136
J,3137
K,3138
L,3139
MICA,100507436
MICB,4277
TAP1,6890
TAP2,6891
V,352962
